order_id,customer_id,order_date,status,region_code
1,468.0,2024-07-13 02:07:46,CANCELLED,EAST
2,264.0,2026-04-08 12:20:26,PLACED,EAST
3,207.0,2025-07-14 13:13:13,RETURNED,NORTH
4,449.0,2026-03-24 08:06:18,PLACED,SOUTH
5,,2026-02-23 11:54:38,DELIVERED,SOUTH
6,422.0,2024-12-22 22:50:59,CANCELLED,NORTH
7,124.0,2026-02-16 15:30:05,RETURNED,WEST
8,446.0,2024-12-15 06:59:31,RETURNED,EAST
9,429.0,2025-11-03 19:37:22,PLACED,EAST
10,,29-03-2025,RETURNED,SOUTH
11,332.0,2025-08-21 06:22:44,SHIPPED,EAST
12,263.0,20-11-2025,PLACED,WEST
13,332.0,2025-10-24 18:55:03,PLACED,SOUTH
14,413.0,2025-04-29 16:50:38,DELIVERED,WEST
15,437.0,2025-08-15 19:59:36,DELIVERED,SOUTH
16,347.0,2025-11-04 19:24:44,RETURNED,WEST
17,4.0,2026-02-26 21:01:27,DELIVERED,EAST
18,56.0,2026-07-02 16:50:02,DELIVERED,EAST
19,442.0,2025-10-13 10:07:49,DELIVERED,SOUTH
20,392.0,2025-07-14 11:28:55,PLACED,WEST
21,349.0,2025-07-08 11:10:02,PLACED,WEST
22,133.0,2025-04-30 19:57:57,CANCELLED,WEST
23,299.0,2026-03-28 18:03:38,RETURNED,SOUTH
24,366.0,2025-08-19 16:34:22,RETURNED,WEST
25,344.0,2024-12-12 11:20:49,DELIVERED,SOUTH
26,449.0,2026-02-18 07:07:38,DELIVERED,NORTH
27,380.0,2025-06-10 23:18:44,RETURNED,SOUTH
28,461.0,2026-04-27 19:31:59,PLACED,SOUTH
29,382.0,2025-12-31 14:48:22,CANCELLED,EAST
30,300.0,2026-06-05 18:01:25,PLACED,WEST
31,325.0,2025-03-11 00:01:25,RETURNED,NORTH
32,100.0,2026-05-11 07:21:13,CANCELLED,EAST
33,446.0,2025-08-16 07:13:05,SHIPPED,SOUTH
34,292.0,2025-07-13 14:55:02,CANCELLED,SOUTH
35,367.0,2025-08-28 18:42:01,PLACED,WEST
36,91.0,2025-02-23 14:41:44,PLACED,NORTH
37,108.0,2024-11-25 14:03:25,SHIPPED,SOUTH
38,391.0,2024-10-31 21:37:25,SHIPPED,WEST
39,207.0,2026-04-07 20:58:18,CANCELLED,WEST
40,,2025-02-17 21:45:56,DELIVERED,NORTH
41,388.0,2026-05-11 01:09:23,SHIPPED,NORTH
42,321.0,2025-06-27 15:18:52,SHIPPED,EAST
